iter	Logloss
0	0.6923687108
1	0.6919015709
2	0.6910534337
3	0.6905564398
4	0.6900723451
5	0.6895940187
6	0.6889816935
7	0.6883961892
8	0.6878718278
9	0.6874399238
10	0.6868224144
11	0.6862727942
12	0.6858175068
13	0.6852088943
14	0.684633053
15	0.684333598
16	0.6838862753
17	0.6834737194
18	0.6830559904
19	0.6828007294
20	0.6824668001
21	0.6821689217
22	0.6817663556
23	0.6813185449
24	0.6810437819
25	0.6805687369
26	0.6800157566
27	0.6797831798
28	0.6795334103
29	0.6792841067
30	0.6789651606
31	0.6786200975
32	0.678362356
33	0.6779510316
34	0.6775865713
35	0.6772282632
36	0.6767297957
37	0.6763503744
38	0.6760297729
39	0.6757132525
40	0.6752362276
41	0.6749327951
42	0.6746581856
43	0.6743704588
44	0.6739097733
45	0.6736612405
46	0.673449357
47	0.6731754969
48	0.6728847783
49	0.6725192262
50	0.6720751046
