iter	Passed	Remaining
0	8	4268
1	14	3668
2	21	3523
3	27	3451
4	33	3335
5	40	3326
6	46	3286
7	52	3255
8	59	3241
9	65	3211
10	71	3182
11	77	3161
12	83	3135
13	89	3120
14	95	3097
15	102	3092
16	109	3106
17	115	3090
18	121	3083
19	128	3075
20	134	3063
21	140	3054
22	147	3052
23	154	3057
24	160	3049
25	166	3039
26	173	3040
27	179	3029
28	186	3023
29	192	3013
30	198	2998
31	204	2991
32	210	2979
33	216	2962
34	222	2949
35	227	2938
36	234	2935
37	240	2926
38	246	2916
39	252	2905
40	258	2897
41	265	2890
42	271	2881
43	276	2870
44	283	2866
45	289	2859
46	295	2852
47	301	2843
48	308	2835
49	314	2829
50	320	2821
