date,ticker,sentiment_earnings,count_earnings,count_positive_earnings,count_negative_earnings,sentiment_product,count_product,count_positive_product,count_negative_product,sentiment_analyst,count_analyst,count_positive_analyst,count_negative_analyst,sentiment_regulatory,count_regulatory,count_positive_regulatory,count_negative_regulatory,sentiment_macroeconomic,count_macroeconomic,count_positive_macroeconomic,count_negative_macroeconomic,sentiment_m&a,count_m&a,count_positive_m&a,count_negative_m&a,has_earnings_news,has_product_news,has_analyst_news,has_regulatory_news,has_macroeconomic_news,has_m&a_news
2025-11-24,AAPL,0.0,0,0,0,0.5616257234773732,1,1,0,0.3610704065079371,1,1,0,0.0,0,0,0,0.0,0,0,0,0.40249260487388516,4,3,1,0,1,1,0,0,1
2025-11-24,GOOGL,0.4509504009044836,1,1,0,0.0,0,0,0,-0.4314059491362128,2,0,2,0.0,0,0,0,0.0,0,0,0,0.2487182554552284,1,1,0,1,0,1,0,0,1
2025-11-24,MSFT,0.0,0,0,0,0.4238308579663613,1,1,0,-0.4689435243310758,1,0,1,0.0,0,0,0,0.0,0,0,0,0.49915297420294263,5,4,1,0,1,1,0,0,1
2025-11-24,NVDA,0.608059997854474,1,1,0,0.5615784022912235,1,1,0,-0.7709176227548579,1,0,1,0.0,0,0,0,-0.4044603822714218,1,0,1,0.5276934885805601,7,6,1,1,1,1,0,1,1
2025-11-24,TSLA,0.0,0,0,0,0.0,0,0,0,0.5614033659378622,3,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
2025-11-24,AMZN,0.0,0,0,0,0.0,0,0,0,0.5605293961682153,1,1,0,0.3137923385320603,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
2025-11-24,META,0.0,0,0,0,-0.6742524303025914,1,0,1,0.0,0,0,0,0.1069924967895058,1,1,0,0.0,0,0,0,-0.5039853186014754,1,0,1,0,1,0,1,0,1
2025-11-23,NVDA,0.0,0,0,0,0.0,0,0,0,-0.4689544078462805,1,0,1,0.0,0,0,0,0.0,0,0,0,0.6722366807154314,1,1,0,0,0,1,0,0,1
2025-11-23,META,0.0,0,0,0,0.0,0,0,0,0.0003934535549945453,4,3,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
2025-11-23,AMZN,0.0,0,0,0,0.24810041839159805,3,2,1,0.5616176619811313,2,2,0,0.0,0,0,0,0.0,0,0,0,0.31895898254145705,5,4,1,0,1,1,0,0,1
2025-11-23,TSLA,0.0,0,0,0,0.06492506376416829,2,1,1,0.5616257176740386,1,1,0,0.0,0,0,0,0.0,0,0,0,0.22189929056662372,2,1,1,0,1,1,0,0,1
2025-11-23,AAPL,0.0,0,0,0,0.0,0,0,0,0.5245325077999305,5,5,0,0.6704307525055879,1,1,0,0.0,0,0,0,0.2732267204817725,4,3,1,0,0,1,1,0,1
2025-11-23,MSFT,0.5971602055632936,1,1,0,0.0,0,0,0,-0.013216149752348194,2,1,1,0.0,0,0,0,0.0,0,0,0,0.42822710595377245,7,7,0,1,0,1,0,0,1
2025-11-23,GOOGL,0.0,0,0,0,0.1195728035839999,1,1,0,0.06477882339944564,3,2,1,-0.1656225669613926,1,0,1,0.0,0,0,0,-0.41706457126760577,2,0,2,0,1,1,1,0,1
2025-11-22,AAPL,0.0,0,0,0,0.7052051261233632,1,1,0,0.5614248120945684,1,1,0,0.0,0,0,0,0.0,0,0,0,-0.014414724238656862,5,2,3,0,1,1,0,0,1
2025-11-22,META,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.559333823594933,2,2,0,0,0,0,0,0,1
2025-11-22,TSLA,0.0,0,0,0,0.5612927626855981,2,2,0,0.6043793303409242,2,2,0,0.0,0,0,0,0.0,0,0,0,0.2562938810808907,6,4,2,0,1,1,0,0,1
2025-11-22,MSFT,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-0.1166545536023026,1,0,1,0.0,0,0,0,-0.12388692363459064,3,1,2,0,0,0,1,0,1
2025-11-22,AMZN,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.6694143689104483,1,1,0,0,0,0,0,0,1
2025-11-22,NVDA,0.0,0,0,0,0.0,0,0,0,0.1186610670446329,1,1,0,0.1843065377518802,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
2025-11-22,GOOGL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.2702761689417762,2,2,0,0,0,0,0,0,1
2025-11-21,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.6204018621313556,3,3,0,0,0,0,0,0,1
2025-11-21,MSFT,0.6857199935552638,2,2,0,0.0,0,0,0,0.18517749308075027,4,2,2,0.0,0,0,0,0.0,0,0,0,0.2865386274098366,4,3,1,1,0,1,0,0,1
2025-11-21,NVDA,-0.4229148965551864,2,1,1,0.0,0,0,0,0.0,0,0,0,0.1329889396528144,1,1,0,0.25106175167591843,2,2,0,0.1511033274221359,10,6,4,1,0,0,1,1,1
2025-11-21,AAPL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.5557523952693355,4,4,0,0,0,0,0,0,1
2025-11-21,AMZN,0.0,0,0,0,0.5142019142992671,5,4,1,0.4876121341850766,1,1,0,0.0,0,0,0,0.0,0,0,0,-0.11799265490408108,3,1,2,0,1,1,0,0,1
2025-11-21,GOOGL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.12158952773990764,5,3,2,0,0,0,0,0,1
2025-11-20,GOOGL,-0.4466384429822378,1,0,1,0.164405807751979,3,2,1,0.4818642311483297,1,1,0,0.0,0,0,0,0.0,0,0,0,0.14793595353102965,3,2,1,1,1,1,0,0,1
2025-11-20,AAPL,-0.5393472334748193,1,0,1,0.6477707149940968,2,2,0,0.1370430471786623,1,1,0,0.0,0,0,0,0.0,0,0,0,-0.5623304137432751,2,0,2,1,1,1,0,0,1
2025-11-20,AMZN,-0.459596493570777,1,0,1,0.21174246467308336,2,1,1,0.0,0,0,0,-0.2285377010287169,1,0,1,0.0,0,0,0,0.449240651673049,9,7,2,1,1,0,1,0,1
2025-11-20,MSFT,-0.04271902138664896,2,1,1,0.45486071447074905,2,2,0,0.0,0,0,0,0.0,0,0,0,-0.0307304227101901,1,0,1,0.4040868358478892,4,4,0,1,1,0,0,1,1
2025-11-20,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.073906479730862,1,1,0,0.6142560444612428,3,3,0,0,0,0,0,1,1
